ID,Sektor,Labour
1,Padi,505735
2,Jagung,49949
3,Kacang Kedelai,490
4,Ketela pohon,18571
5,Tanaman pangan lainnya,5014
6,Jasa pertanian dan perburuan,25769
7,Jeruk,71525
8,Hortikultura lainnya,63064
9,Karet ,218641
10,Kelapa,26153
11,Kelapa Sawit,91563
12,Kopi,1013
13,Lada,1945
14,Tan.Perkeb.lainnya,3575
15,Unggas dan hasilnya,38554
16,Peternakan lainnya,22255
17,Kayu,48213
18,Hasil Hutan lainnya,22752
19,Perikanan Tangkap,55371
20,Perikanan Budidaya,24329
21,Pertambangan dan Penggalian,78646
22,Industri Minyak Kelapa Sawit,5226
23,Industri Makanan dan Minuman,17540
24,Industri tekstil dan pakaian jadi,26
25,Industri Kayu Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu Rotan dan Sejenisnya ,36975
26,Industri Kertas dan Barang dari Kertas Percetakan dan Reproduksi Media Rekaman ,98
27,Industri Kimia Farmasi dan Obat Tradisional,1004
28,Industri Karet Barang dari Karet dan Plastik,28096
29,Industri Barang Galian bukan Logam,83
30,Industri Barang dari Logam Komputer Barang Elektronik Optik dan Peralatan Listrik,140
31,Industri Furnitur,61
32,Industri lainnya,245
33,Ketenagalistrikan,3418
34,Pengadaan air,991
35,Konstruksi,97395
36,Perdagangan besar eceranreparasi mobil dan sepeda motor,263433
37,Pengangkutan darat,3958
38,Pengangkutan laut,4255
39,Pengangkutan Sungai dan penyeberangan,4140
40,Pengangkutan Udara,3251
41,PergudanganJasa Penunjang Angkutan pos dan kurir,15544
42,Penyediaan Akomodasi,4303
43,Penyediaan makan dan minum,9588
44,Informasi dan Komunikasi,20396
45,Bank,8272
46,Asuransi,2813
47,Jasa Keuangan Lainnya,2736
48,Real estate,8
49,Jasa Perusahaan,7173
50,Administrasi Pemerintahan dan Pertahanan,186528
51,Jasa pendidikan,22156
52,Jasa Kesehatan dan kegiatan sosial,21943
53,Jasa Lainnya,1650
54,Kegiatan yg tak jelas batasannya,0
