ID,Sektor,Labour
1,Padi,41961
2,Jagung,7575
3,"Umbi-umbian, Kacang-kacangan, dan Sayur-sayuran",43859
4,Buah-buahan,13852
5,Jambu mete,51680
6,Kakao,115230
7,Tanaman Perkebunan Lainnya,60760
8,Ternak dan Hasil-hasilnya,65063
9,Unggas & Hasil-hasilnya,24651
10,Kayu ,7509
11,Hasil Hutan Lainnya,16912
12,Perikanan Darat dan laut,179430
13,Nikel,35725
14,Aspal,1392
15,Penggalian Lainnya,41383
16,Pengilangan Minyak,0
17,Industri Makanan dan Minuman & Tembakau,29466
18,"Industri Tekstil, Kayu, Kertas, Pupuk, Semen, & sejenisnya",16831
19,Industri Ferro Nikel dan Besi/baja lainnya,59878
20,Industri Lainnya,3250
21,Listrik,22666
22,Air Bersih,1417
23,Konstruksi/Bangunan,296649
24,Jasa Perdagangan,257257
25,Jasa Perhotelan dan Restoran,8806
26,Jasa Angkutan dan Jasa Komunikasi,142265
27,Bank dan Lembaga Keuangan lainnya,75744
28,Sewa Bangunan dan Jasa Perusahaan,41732
29,Jasa Pemerintahan,935344
30,Jasa Pendidikan Kesehatan dan Kemasyarakatan Sosial,7598
31,Jasa Hiburan Rekreasi  dan Kebudayaan Swasta,347
32,Jasa Perorangan dan Rumahtangga,29184
