ID,Sektor,Labour
1,Padi,84855
2,Jagung,9778
3,Tanaman Umbi-umbian,16925
4,Sayur-sayuran dan buah-buahan,77355
5,Kacang Tanah,7858
6,Kacang kedelai,982
7,Tanaman Bahan Mkanan Lainnya,369
8,Kelapa,5241
9,Tembakau,8317
10,Kopi,6959
11,Tanaman Perkebunan Lainnya,20766
12,Ternak Besar,12810
13,Ternak Kecil,59283
14,Jasa Pemotongan Ternak,73636
15,Unggas dan hasil-hasilnya,45023
16,Kehutanan dan hasil-hasilnya,721
17,Perikanan,283213
18,Batu Padas,2094
19,Barang galian lainnya,6450
20,Pertambangan,0
21,Penggilingan padi penyosohan beras,6032
22,Industri kopra minyak goreng,13198
23,Industri makanan minuman tembakau kopi,21924
24,Industri tekstil pakaian jadi dan barang dari kulit,144724
25,Industri kayu dan barang dari kayu,71517
26,Industri kertas barang dari kertas dan karton,4387
27,Bahan bakar & Industri kimia karet plastik,13859
28,Industri kerajinan dan bahan galian,1095
29,Industri bahan bangunan (barang mineral bukan logam) lainnya,3304
30,Industri karoseri dan alat angkutan,4405
31,industri logam dasar dan barang logam lainnya,0
32,Industri barang perhiasan,1307
33,Industri pengolahan lainnya,3355
34,Listrik dan air minum,3912
35,Konstruksi,128676
36,Perdagangan,223063
37,Restoran Rumah makan warung,132214
38,Hotel Bintang,100046
39,Hotel Non Bintang,7194
40,Angkutan darat,20870
41,Angkutan laut ,4828
42,Angkutan Udara,12983
43,Travel Biro,8751
44,Jasa Penunjang Angkutan Lainnya,10658
45,Komunikasi pos dan Giro,19283
46,Perbankan,16581
47,Money Changer,1927
48,Persewaan Bangunan dan Tanah,16944
49,Lembaga Keuangan Lainnya,9231
50,Jasa Perusahaan,8254
51,Jasa Pemerintahan Umum,201579
52,Jasa Sosial kemasyarakatan,3849
53,Atraksi Budaya,79
54,Jasa Hiburan Perorangan dan Lainnya,39470
