Sektor,Kategori,Hutan lahan kering primer,Hutan lahan kering sekunder / bekas tebangan,Hutan rawa primer,Hutan rawa sekunder,Hutan mangrove primer,Hutan mangrove sekunder,Hutan tanaman,Perkebunan,Semak belukar,Semak belukar rawa,Savanna / Padang rumput,Pertanian lahan kering,Pertanian lahan kering  campur semak / kebun campur,Sawah,Tambak,Pemukiman,Transmigrasi,Lahan terbuka,Pertambangan,Tubuh air,Rawa,Awan,Bandara,Total Kebutuhan Lahan (ha),LPC,LRC
Padi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,0,30603,0,0,0,0,0,0,0,0,0,30603,38.36715159,0.026063962
Jagung,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,11676.8,0,0,0,0,0,0,0,0,0,0,0,11676.8,15.41425824,0.064875
Tanaman Umbi-umbian,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,4438.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4438.3,75.45298667,0.013253286
Sayur-sayuran dan buah-buahan,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,4438.3,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,4441.9,640.9017993,0.001560301
Kacang Tanah,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,5838.4,0,0,0,0,0,0,0,0,0,0,0,5838.4,41.58376452,0.024047847
Kacang kedelai,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,5838.4,0,0,0,0,0,0,0,0,0,0,0,5838.4,6.215965827,0.160876045
Tanaman Bahan Mkanan Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,5838.4,0,0,0,0,0,0,0,0,0,0,0,5838.4,1.17453299,0.851402224
Kelapa,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,42.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.4,4875.388244,0.000205112
Tembakau,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2,2237.424675,0.000446942
Kopi,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,0,0,20274.5,0,0,0,0,0,0,0,0,0,0,20274.5,14.36892081,0.069594649
Tanaman Perkebunan Lainnya,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,63.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.6,10027.21072,9.97E-05
Ternak Besar,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,33.1,0,0,0,0,0,0,0,0,0,0,0,0,33.1,3892.151951,0.000256927
Ternak Kecil,Pertanian Kehutanan dan Perikanan,0,0,0,0,0,0,0,0,0,0,33.1,0,0,0,0,0,0,0,0,0,0,0,0,33.1,79600.9594,1.26E-05
