ID,Sektor,Labour
1,Padi,393
2,Jagung,30
3,Tanaman Umbi-umbian Palawija,288
4,Tanaman Kacang-kacangan dan Serelia Lain,50
5,Horti Semusim,1083
6,Horti Tahunan atau Lainnya,451
7,Perkebunan,3320
8,Peternakan,3059
9,"Jasa Pertanian, dan Perburuan",193
10,Kehutanan,7019
11,Ikan,6508
12,Udang,4216
13,Perikanan Lainnya,540
14,Pertambangan dan Penggalian,43551
15,Industri Pengolahan Migas,82751
16,Industri Hasil Pengolahan Ikan Produk Perikanan Lain,1067
17,"Industri Makanan Lain, Minuman dan Tembakau",1226
18,Industri Barang Kayu dan  Hasil Hutan,3880
19,Industri Kertas dan Barang Cetakan,157
20,Industri Semen dan Barang Galian Bukan Logam,594
21,Industri Lainnya,1090
22,Listrik Gas dan Air Bersih,331
23,Konstruksi,54109
24,Perdagangan Mobil Sepeda Motor dan Reparasinya,4171
25,Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,14007
26,Jasa Angkutan Darat,3305
27,Jasa Angkutan Laut,1743
28,Jasa Angkutan Sungai Danau dan Penyeberangan,296
29,Jasa Angkutan Udara,2943
30,Pergudangan Jasa Penunjang Angkutan Pos dan Kurir,703
31,Penyediaan Akomodasi ,450
32,Penyedia Makan Minum,1651
33,Infokom,4426
34,Keuangan,5016
35,Real Estate,646
36,Persewaan dan Jasa Perusahaan,359
37,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,71500
38,Jasa Pendidikan,20696
39,Jasa Kesehatan dan Kegiatan Sosial,4062
40,Jasa Lainnya,1740
