ID,Sektor,Labour
1, Padi ,1016
2, Ketela pohon ,158
3, sayur-sayuran ,423
4, Buah-buahan ,831
5, Tabama Lainnya ,501
6, Lada ,222
7, Kelapa sawit ,1565
8, Tanaman Perkebunan Lainnya ,362
9, Ayam Ras ,558
10, Peternakan Lainnya ,403
11, Kayu ,3129
12, Hasil hutan lainnya ,357
13, Ikan laut dan hasil aut lainnya ,1384
14, Ikan darat dan hasil perairan darat ,2545
15, Pertambangan Migas ,34123
16, Batubara ,72938
17, Pertambangan Non Migas Lainnya ,5296
18, Barang galian segala jenis ,1080
19, Barang-barang hasil kilang minyak ,27580
20, Gas alam cair (LNG) ,33058
21, Industri Makanan Minuman dan Tembakau ,1034
22, Industri Tekstil Barang Kulit dan Alas Kaki ,40
23, Industri Kayu dan Hasil Hutan Lainnya ,1268
24, Industri Kertas dan Barang Cetakan ,2224
25, Industri Pupuk Kimia dan Barang dari Karet ,3693
26, Industri Semen Barang Lain Bukan Logam ,118
27, Industri Logam Dasar Besi dan Baja ,0
28, Industri Alat Angkutan Mesin dan Peralatan ,103
29, Industri Barang Lainnya ,108
30, Listrik dan gas ,671
31, Air bersih ,73
32, Konstruksi ,7432
33, Jasa perdagangan ,17108
34, Jasa perhotelan ,321
35, Jasa restoran ,1394
36, Jasa angkutan jalan raya ,1575
37, Jasa angkutan sungai dan danau ,711
38, Jasa angkuta laut ,670
39, Jasa angkutan  udara ,1471
40, Jasa penunjang angkutan ,2974
41, Jasa komunikasi ,1159
42, Bank ,1813
43, Lembaga Keuangan Selain Bank ,189
44, Sewa bangunan dan sewa tanah ,2013
45, Jasa perusahaan ,1336
46, Pemerintahan dan Pertahanan ,8018
47, Jasa Sosial dan Kemasyarakatan ,152
48, Jasa hiburan rekreasi & kebudayaan ,32
49, Jasa perorangan dan rumah tangga ,433
