ID,Sektor,Labour
1,Padi,22478
2,Jagung,62396
3,Kedelai,536
4,Tanaman Pangan Lainnya,577
5,Bawang Merah,54
6,Tomat,159
7,Cabe Rawit,5816
8,Sayur-sayuran Lainnya,594
9,Buah-buahan,887
10,Tebu,1436
11,Kelapa,10423
12,Cengkeh,2016
13,Kakao,1494
14,"Tanaman Hias, Tanaman Biofarmaka, dan Tanaman Perkebunan Lainnya",979
15,Sapi,4431
16,Ternak Lainnya dan Hasil-hasilnya,115
17,Ayam,2783
18,Unggas dan Hasil-hasilnya,972
19,Jasa Pertanian dan Perburuan,2697
20,Kehutanan dan Penebangan Kayu,5271
21,"Tuna, Cakalang, Tongkol, Selar, dan Layang",28070
22,Kakap dan Kerapu,1450
23,Udang,633
24,Nila,1941
25,Bandeng,3124
26,Perikanan Lainnya,5334
27,Pertambangan dan Penggalian ,3333
28,Industri Batubara dan Pengilangan Migas,0
29,Pemotongan Hewan,2749
30,Kopra,1099
31,Penggilingan Padi dan Penyosohan Beras,6835
32,Gula,7184
33,Industri Makanan Lainnya dan Minuman,6246
34,Industri Kain Kerawang,131
35,Industri Tekstil dan Pakaian Jadi Lainnya,403
36,"Industri Kayu, Barang dari Kayu dan Gabus dan Barang Anyaman dari Bambu, Rotan dan Sejenisnya ",5465
37,Industri Barang Galian bukan Logam,2559
38,Industri Furnitur,3675
39,"Industri Pengolahan Lainnya, Jasa Reparasi dan Pemasangan Mesin dan Peralatan",1533
40,Pengadaan Listrik Gas dan Air,640
41,Konstruksi,41674
42,Perdagangan Mobil Sepeda Motor dan Reparasinya,13464
43,Perdagangan Besar dan Eceran Bukan Mobil dan Sepeda Motor,48543
44,Angkutan Darat,11937
45,Angkutan Laut Sungai Danau dan Penyeberangan,1808
46,Angkutan Udara,4608
47,Pergudangan dan Jasa Penunjang Angkutan Pos dan Kurir,943
48,Penyediaan Akomodasi,3239
49,Penyediaan Makan Minum,12928
50,Informasi dan Komunikasi,7159
51,Jasa Keuangan dan Asuransi,11488
52,Real Estate dan Jasa Perusahaan,1895
53,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,52361
54,Jasa Pendidikan Jasa Kesehatan dan Kegiatan Sosial,32630
55,Jasa Lainnya,5734
